Unnamed: 0,club,position,id,gender,trained_10_week,trained_im,has_trainer,cadence,age,bmi,n_marathons_run,bib_colour,VO2_max,heart_rate,shoe_size,time_seconds
8063,Runway RAF running club,1,8039,0,5.536637955986697,5.536637955986697,1,173,25.0,26.3,10,3,80.87,64.87,12,2775
5365,Road Runners,2,5346,0,5.258729599414941,5.258729599414941,1,177,61.0,25.4,21,3,82.88,64.93,12,2804
1,Gump's training,3,1,0,4.890384194396782,5.328191772053221,1,174,41.0,26.99,25,3,73.06,66.58,12,2816
11426,The Bolts,4,11389,0,4.693383722802077,5.016946603730824,1,176,42.0,25.53,0,3,73.84,60.83,9,2833
11425,Mo running,5,11388,0,5.333973406963374,5.333973406963374,1,161,44.0,26.33,1,3,78.44,64.08,9,2839
0,Run every day,6,0,0,5.634852454892254,5.634852454892254,1,174,41.0,29.0,23,3,81.5,63.12,8,2857
455,Road Runners,7,453,0,4.362438399868845,5.302839679517986,1,173,41.0,25.68,9,3,77.32,63.7,11,2879
9928,Gump's training,8,9899,0,5.500252261811561,5.500252261811561,1,171,28.0,25.23,8,3,78.29,66.2,12,2913
6676,Runway RAF running club,9,6654,1,3.215732064551458,5.392735609716963,1,173,46.0,26.33,25,3,80.26,65.27,5,2936
5367,The Bolts,10,5348,0,5.150225450820621,5.513224359604489,0,172,32.0,25.43,7,3,80.07,63.66,7,2941
457,The Bolts,11,455,0,5.368277047589468,5.368277047589468,1,170,42.0,27.51,19,3,84.16,63.03,9,2951
5368,Mo running,12,5349,0,5.082339789913752,5.111286921436936,1,166,60.0,25.52,20,3,84.26,63.12,12,2953
6677,Gump's training,13,6655,1,4.307175789684482,5.052619435755723,1,171,48.0,24.49,20,3,80.83,66.41,7,2954
8064,Best foot forward,14,8040,0,4.355531485006793,4.980506126537438,1,167,33.0,23.35,7,3,88.48,64.13,10,2956
9680,Run every day,15,9653,1,4.867291710403648,4.943994093764966,1,170,40.0,23.77,7,3,75.56,63.91,6,2957
456,Gump's training,16,454,0,4.780181583663604,5.492387931114906,1,175,26.0,25.23,11,3,86.94,60.96,7,2973
5366,Forest's running club,17,5347,0,4.860106369255132,5.184456800494079,0,175,52.0,25.82,12,3,76.93,61.84,12,2993
458,Forest's running club,18,456,0,5.35099500048457,5.35099500048457,1,177,40.0,23.69,23,3,82.77,61.03,13,2998
3159,Road Runners,19,3147,0,4.61688014421833,4.984960644513633,1,187,51.0,25.67,23,3,81.99,66.34,12,3004
7449,Runway RAF running club,20,7427,0,5.22156033199686,5.22156033199686,1,169,56.0,26.47,6,3,82.5,63.41,7,3037
11427,Road Runners,21,11390,0,4.902136793523056,4.902136793523056,0,174,54.0,24.32,24,3,74.71,66.74,10,3071
11428,Best foot forward,22,11391,0,5.179418803735392,5.179418803735392,0,157,46.0,27.14,7,3,79.21,65.27,9,3073
9681,Flash boys,23,9654,0,5.617825672910902,5.617825672910902,1,174,48.0,22.75,16,3,82.63,66.4,11,3095
1969,Runway RAF running club,24,1959,0,4.389050348685249,5.011614434443256,1,177,18.0,24.52,23,3,81.11,63.45,10,3097
9929,Mo running,25,9900,0,4.523162178926117,4.721393488050233,1,168,40.0,23.81,30,3,84.88,65.36,8,3099
3160,Road Runners,26,3148,0,5.020818088104813,5.020818088104813,1,172,56.0,25.7,31,3,44.612217,64.91,9,3101
460,Road Runners,27,458,0,4.941195513978417,5.28739779830192,0,175,32.0,28.62,20,3,82.23,61.97,12,3104
13455,Best foot forward,28,13413,0,4.948128678788423,5.127170867521566,0,169,43.0,24.29,23,3,77.96,61.24,9,3124
3844,Road Runners,29,3831,0,5.108074018718313,5.223471841610315,1,171,55.0,24.78,11,3,85.19,67.14,7,3125
7095,Gump's training,30,7073,0,4.410439176878504,4.870325111622619,0,163,18.0,24.33,15,3,91.24,63.24,9,3135
459,Best foot forward,31,457,0,5.478385285820772,5.478385285820772,0,171,43.0,24.49,17,3,77.5,63.54,10,3146
8065,No,32,8041,0,5.115019803741311,5.127291983368568,0,174,25.0,22.495630402171585,1,3,74.48,63.99,12,3153
5369,Runway RAF running club,33,5350,0,5.500520147640414,5.500520147640414,1,173,38.0,25.06,8,3,77.81,65.27,11,3157
8066,Runway RAF running club,34,8042,0,4.936673975992065,5.112524370256922,0,170,33.0,28.24,18,3,86.24,63.24,9,3162
461,Road Runners,35,459,1,5.699308491013151,5.699308491013151,1,170,18.0,24.62,17,3,79.23,66.68,3,3171
1970,Flash boys,36,1960,1,5.446180511484511,5.446180511484511,1,176,23.0,26.6,8,3,73.99,66.2,5,3179
